clid	calldate	src	dst	dcontext	channel	lastapp	billsec
4742731629	2019-11-13 13:17:54	4742731629	s	incoming	Local/s@incoming-0001140c;2	Dial	3
4742774213	2019-11-13 13:16:47	4742774213	909800	incoming	DAHDI/i1/4742774213-13c99	Dial	82
4742731629	2019-11-13 13:17:54	4742731629	909800	incoming	DAHDI/i1/4742731629-13c9d	Dial	49
84747521168	2019-11-13 13:09:23	84747521168	909800	incoming	DAHDI/i1/84747521168-13c8f	Dial	676
4742431273	2019-11-13 13:17:06	4742431273	909800	incoming	DAHDI/i1/4742431273-13c9a	Dial	237
9042942094	2019-11-13 13:22:00	9042942094	s	incoming	Local/s@incoming-0001140e;2	Dial	2
9042942094	2019-11-13 13:22:00	9042942094	909800	incoming	DAHDI/i1/9042942094-13ca5	Dial	14
84742366066	2019-11-13 13:24:49	84742366066	s	incoming	Local/s@incoming-00011410;2	Dial	2
84742366066	2019-11-13 13:24:49	84742366066	909800	incoming	DAHDI/i1/84742366066-13ca9	Dial	13
84742366066	2019-11-13 13:25:17	84742366066	s	incoming	Local/s@incoming-00011412;2	Dial	2
84742366066	2019-11-13 13:25:17	84742366066	909800	incoming	DAHDI/i1/84742366066-13caa	Dial	9
4742358200	2019-11-13 13:30:31	4742358200	s	incoming	Local/s@incoming-00011414;2	Dial	3
4742358200	2019-11-13 13:30:31	4742358200	242717	incoming	SIP/megafon-00048360	Dial	49
4742358200	2019-11-13 13:31:31	4742358200	s	incoming	Local/s@incoming-00011416;2	Dial	3
84742239580	2019-11-13 13:32:31	84742239580	s	incoming	Local/s@incoming-00011418;2	Dial	2
4742358200	2019-11-13 13:31:31	4742358200	242717	incoming	SIP/megafon-00048366	Dial	74
4742731629	2019-11-13 13:37:20	4742731629	s	incoming	Local/s@incoming-0001141a;2	Dial	2
4742333143	2019-11-13 13:40:45	4742333143	s	incoming	Local/s@incoming-0001141c;2	Dial	2
4742333143	2019-11-13 13:40:45	4742333143	909800	incoming	DAHDI/i1/4742333143-13cc6	Dial	9
4742333143	2019-11-13 13:41:07	4742333143	s	incoming	Local/s@incoming-0001141e;2	Dial	2
4742333143	2019-11-13 13:41:07	4742333143	909800	incoming	DAHDI/i1/4742333143-13cc8	Dial	7
4742731629	2019-11-13 13:37:20	4742731629	909800	incoming	DAHDI/i1/4742731629-13cc2	Dial	256
4742333143	2019-11-13 13:41:48	4742333143	s	incoming	Local/s@incoming-00011420;2	Dial	2
4742333143	2019-11-13 13:41:48	4742333143	909800	incoming	DAHDI/i1/4742333143-13ccb	Dial	5
9508010778	2019-11-13 13:41:54	9508010778	s	incoming	Local/s@incoming-00011422;2	Dial	2
4742333143	2019-11-13 13:42:03	4742333143	s	incoming	Local/s@incoming-00011424;2	Dial	2
9508010778	2019-11-13 13:41:54	9508010778	909800	incoming	DAHDI/i1/9508010778-13ccc	Dial	13
4742333143	2019-11-13 13:42:03	4742333143	909800	incoming	DAHDI/i1/4742333143-13ccd	Dial	8
9508010778	2019-11-13 13:42:14	9508010778	s	incoming	Local/s@incoming-00011426;2	Dial	2
84742239580	2019-11-13 13:32:31	84742239580	909800	incoming	DAHDI/i1/84742239580-13cbc	Dial	608
4742333143	2019-11-13 13:42:54	4742333143	s	incoming	Local/s@incoming-00011428;2	Dial	2
4742333143	2019-11-13 13:42:54	4742333143	909800	incoming	DAHDI/i1/4742333143-13cd2	Dial	8
9508010778	2019-11-13 13:42:14	9508010778	909800	incoming	DAHDI/i1/9508010778-13cd0	Dial	56
84746920236	2019-11-13 13:43:22	84746920236	s	incoming	Local/s@incoming-0001142a;2	Dial	2
4742333143	2019-11-13 13:43:58	4742333143	s	incoming	Local/s@incoming-0001142c;2	Dial	2
84742430138	2019-11-13 13:44:08	84742430138	s	incoming	Local/s@incoming-0001142e;2	Dial	2
84742353064	2019-11-13 13:44:13	84742353064	s	incoming	Local/s@incoming-00011430;2	Dial	2
4742333143	2019-11-13 13:43:58	4742333143	909800	incoming	DAHDI/i1/4742333143-13cd7	Dial	17
